IDSource	IDTarget
anaphora	situations-semantics
anarchism	authority
anarchism	autonomy-moral
anarchism	feyerabend
anarchism	godwin
anarchism	libertarianism
anarchism	max-stirner
anarchism	nozick-political
anarchism	pacifism
anarchism	political-obligation
anarchism	sovereignty
anaxagoras	ancient-soul
anaxagoras	democritus
anaxagoras	doxography-ancient
anaxagoras	empedocles
anaxagoras	parmenides
anaxagoras	plato
anaxagoras	presocratics
anaxagoras	zeno-elea
ancient-political	aristotle
ancient-political	aristotle-ethics
ancient-political	aristotle-politics
ancient-political	callicles-thrasymachus
ancient-political	carneades
ancient-political	cosmopolitanism
ancient-political	doxography-ancient
ancient-political	epicurus
ancient-political	ethics-ancient
ancient-political	medieval-political
ancient-political	plato
ancient-political	plato-ethics-politics
ancient-political	plato-utopia
ancient-political	plotinus
ancient-political	pyrrho
ancient-political	pythagoreanism
ancient-political	seneca
ancient-political	skepticism-ancient
ancient-political	socrates
ancient-political	stoicism
ancient-soul	aristotle-psychology
ancient-soul	plato-ethics
ancient-soul	plato-ethics-politics
ancient-soul	plotinus
ancient-soul	stoicism
anderson-john	aristotle-logic
anderson-john	bosanquet
anderson-john	causation-counterfactual
anderson-john	ethics-virtue
anderson-john	facts
anderson-john	green
anderson-john	heraclitus
anderson-john	logic-classical
anderson-john	logic-informal
anderson-john	logic-ontology
anderson-john	medieval-categories
anderson-john	metaphysics
anderson-john	parmenides
anderson-john	realism-sem-challenge
anderson-john	reid
anderson-john	russell
anderson-john	ryle
anderson-john	scottish-19th
anderson-john	square
anderson-john	states-of-affairs
animalism	cognition-animal
animalism	consciousness-animal
animalism	functionalism
animalism	identity
animalism	identity-ethics
animalism	identity-personal
animalism	identity-time
animalism	life
animalism	locke
animalism	moral-animal
anna-julia-cooper	africana
anna-julia-cooper	alain-locke
anna-julia-cooper	alexander-crummell
anna-julia-cooper	dubois
anna-julia-cooper	emerson
anna-julia-cooper	femapproach-pragmatism
anna-julia-cooper	frederick-douglass
anomalous-monism	action
anomalous-monism	content-causal
anomalous-monism	content-externalism
anomalous-monism	davidson
